Year,Total radiative forcing,Sea temperature anomaly,2 sigma error in the sea temperature anomaly
1979.0,1.4981143903004268,0.107,0.020500000000000004
1980.0,1.5322056449217762,0.116,0.019500000000000003
1981.0,1.5664145728419958,0.043,0.019
1982.0,1.5814165757391505,0.052,0.0235
1983.0,1.6018215040439256,0.22,0.02149999999999999
1984.0,1.6563216870690776,0.056,0.0225
1985.0,1.6773269492549387,0.071,0.019499999999999997
1986.0,1.7075544080700162,0.064,0.0255
1987.0,1.7335189571150633,0.231,0.02800000000000001
1988.0,1.7816365994845962,0.164,0.025999999999999995
1989.0,1.810460388986161,0.072,0.0325
1990.0,1.8359641167644973,0.181,0.036000000000000004
1991.0,1.8666500441042213,0.193,0.04000000000000001
1992.0,1.9071856308528932,0.136,0.040999999999999995
1993.0,1.9236344781204218,0.167,0.042499999999999996
1994.0,1.9389041886214724,0.138,0.0445
1995.0,1.9786937680397045,0.179,0.042499999999999996
1996.0,2.014394051340824,0.187,0.043
1997.0,2.0292463341615647,0.323,0.04300000000000001
1998.0,2.0629496033787746,0.465,0.047000000000000014
1999.0,2.112445886158966,0.204,0.0485
2000.0,2.1405049227454924,0.184,0.048
2001.0,2.1570563843350166,0.323,0.047500000000000014
2002.0,2.184940085782758,0.398,0.04550000000000001
2003.0,2.219656246368144,0.369,0.043999999999999984
2004.0,2.252711833395798,0.289,0.04350000000000001
2005.0,2.2795125609840374,0.367,0.046999999999999986
2006.0,2.3167293694282804,0.336,0.048000000000000015
2007.0,2.3417207320683873,0.27,0.0495
2008.0,2.3795722433056707,0.22,0.049000000000000016
2009.0,2.4138825907751245,0.413,0.05050000000000002
2010.0,2.43591511078614,0.379,0.04949999999999999
2011.0,2.4721053987943353,0.275,0.049
2012.0,2.500711332840642,0.312,0.045499999999999985
2013.0,2.538371486926817,0.352,0.048000000000000015
2014.0,2.5764436733090514,0.381,0.046499999999999986
2015.0,2.6154329102812874,0.497,0.046500000000000014
2016.0,2.661586716109354,0.531,0.04799999999999999
2017.0,2.6967948900177325,0.434,0.04799999999999999
2018.0,2.741142984120725,0.405,0.05050000000000002
2019.0,2.774953354154898,0.502,0.049500000000000016
